layer,index,original_weight,code,quantized_weight,absolute_error
0,92,0,0,0,0
0,93,7,56,7,0
0,94,-1,9,-1,0
0,95,6,18,6,0
0,96,-7,11,-7,0
0,97,0,0,0,0
0,98,7,56,7,0
0,99,-1,9,-1,0
0,100,6,18,6,0
0,101,-2,26,-2,0
0,102,5,2,5,0
0,103,-3,10,-3,0
0,104,4,17,4,0
0,105,-4,43,-4,0
0,106,3,1,3,0
0,107,-5,138,-5,0
0,108,2,41,2,0
0,109,-6,27,-6,0
0,110,1,24,1,0
0,111,-7,11,-7,0
0,112,-5,138,-5,0
0,113,2,41,2,0
0,114,-6,27,-6,0
0,115,1,24,1,0
0,116,-7,11,-7,0
0,117,0,0,0,0
0,118,7,56,7,0
0,119,-1,9,-1,0
0,120,6,18,6,0
0,121,-2,26,-2,0
0,122,5,2,5,0
0,123,-3,10,-3,0
0,124,4,17,4,0
0,125,-4,43,-4,0
0,126,3,1,3,0
0,127,-5,138,-5,0
0,128,-3,10,-3,0
0,129,4,17,4,0
0,130,-4,43,-4,0
0,131,3,1,3,0
0,132,-5,138,-5,0
0,133,2,41,2,0
0,134,-6,27,-6,0
0,135,1,24,1,0
0,136,-7,11,-7,0
0,137,0,0,0,0
0,138,7,56,7,0
0,139,-1,9,-1,0
0,140,6,18,6,0
0,141,-2,26,-2,0
0,142,5,2,5,0
0,143,-3,10,-3,0
0,144,-1,9,-1,0
0,145,6,18,6,0
0,146,-2,26,-2,0
0,147,5,2,5,0
0,148,-3,10,-3,0
0,149,4,17,4,0
0,150,-4,43,-4,0
0,151,3,1,3,0
0,152,-5,138,-5,0
0,153,2,41,2,0
0,154,-6,27,-6,0
0,155,1,24,1,0
0,156,-7,11,-7,0
0,157,0,0,0,0
0,158,7,56,7,0
0,159,-1,9,-1,0
0,160,1,24,1,0
0,161,-7,11,-7,0
0,162,0,0,0,0
0,163,7,56,7,0
0,164,-1,9,-1,0
0,165,6,18,6,0
0,166,-2,26,-2,0
0,167,5,2,5,0
0,168,-3,10,-3,0
0,169,4,17,4,0
0,170,-4,43,-4,0
0,171,3,1,3,0
0,172,-5,138,-5,0
0,173,2,41,2,0
0,174,-6,27,-6,0
0,175,1,24,1,0
0,176,3,1,3,0
0,177,-5,138,-5,0
0,178,2,41,2,0
0,179,-6,27,-6,0
0,180,1,24,1,0
0,181,-7,11,-7,0
0,182,0,0,0,0
0,183,7,56,7,0
0,184,-1,9,-1,0
0,185,6,18,6,0
0,186,-2,26,-2,0
0,187,5,2,5,0
0,188,-3,10,-3,0
0,189,4,17,4,0
0,190,-4,43,-4,0
0,191,3,1,3,0
0,192,5,2,5,0
0,193,-3,10,-3,0
0,194,4,17,4,0
0,195,-4,43,-4,0
0,196,3,1,3,0
0,197,-5,138,-5,0
0,198,2,41,2,0
0,199,-6,27,-6,0
0,200,1,24,1,0
0,201,-7,11,-7,0
0,202,0,0,0,0
0,203,7,56,7,0
0,204,-1,9,-1,0
0,205,6,18,6,0
0,206,-2,26,-2,0
0,207,5,2,5,0
0,208,7,56,7,0
0,209,-1,9,-1,0
0,210,6,18,6,0
0,211,-2,26,-2,0
0,212,5,2,5,0
0,213,-3,10,-3,0
0,214,4,17,4,0
0,215,-4,43,-4,0
0,216,3,1,3,0
0,217,-5,138,-5,0
0,218,2,41,2,0
0,219,-6,27,-6,0
0,220,1,24,1,0
0,221,-7,11,-7,0
0,222,0,0,0,0
0,223,7,56,7,0
0,224,-6,27,-6,0
0,225,1,24,1,0
0,226,-7,11,-7,0
0,227,0,0,0,0
0,228,7,56,7,0
0,229,-1,9,-1,0
0,230,6,18,6,0
0,231,-2,26,-2,0
0,232,5,2,5,0
0,233,-3,10,-3,0
0,234,4,17,4,0
0,235,-4,43,-4,0
0,236,3,1,3,0
0,237,-5,138,-5,0
0,238,2,41,2,0
0,239,-6,27,-6,0
0,240,-4,43,-4,0
0,241,3,1,3,0
0,242,-5,138,-5,0
0,243,2,41,2,0
0,244,-6,27,-6,0
0,245,1,24,1,0
0,246,-7,11,-7,0
0,247,0,0,0,0
0,248,7,56,7,0
0,249,-1,9,-1,0
0,250,6,18,6,0
0,251,-2,26,-2,0
0,252,5,2,5,0
0,253,-3,10,-3,0
0,254,4,17,4,0
0,255,-4,43,-4,0
1,0,-5,138,-5,0
1,1,0,0,0,0
1,2,5,2,5,0
1,3,-3,10,-3,0
1,4,2,41,2,0
1,5,-6,27,-6,0
1,6,-1,9,-1,0
1,7,4,17,4,0
1,8,-4,43,-4,0
1,9,1,24,1,0
1,10,6,18,6,0
1,11,-2,26,-2,0
1,12,3,1,3,0
1,13,-5,138,-5,0
1,14,0,0,0,0
1,15,5,2,5,0
1,16,6,18,6,0
1,17,-2,26,-2,0
1,18,3,1,3,0
1,19,-5,138,-5,0
1,20,0,0,0,0
1,21,5,2,5,0
1,22,-3,10,-3,0
1,23,2,41,2,0
1,24,-6,27,-6,0
1,25,-1,9,-1,0
1,26,4,17,4,0
1,27,-4,43,-4,0
1,28,1,24,1,0
1,29,6,18,6,0
1,30,-2,26,-2,0
1,31,3,1,3,0
1,32,4,17,4,0
1,33,-4,43,-4,0
1,34,1,24,1,0
1,35,6,18,6,0
1,36,-2,26,-2,0
1,37,3,1,3,0
1,38,-5,138,-5,0
1,39,0,0,0,0
1,40,5,2,5,0
1,41,-3,10,-3,0
1,42,2,41,2,0
1,43,-6,27,-6,0
1,44,-1,9,-1,0
1,45,4,17,4,0
1,46,-4,43,-4,0
1,47,1,24,1,0
1,48,2,41,2,0
1,49,-6,27,-6,0
1,50,-1,9,-1,0
1,51,4,17,4,0
1,52,-4,43,-4,0
1,53,1,24,1,0
1,54,6,18,6,0
1,55,-2,26,-2,0
1,56,3,1,3,0
1,57,-5,138,-5,0
1,58,0,0,0,0
1,59,5,2,5,0
1,60,-3,10,-3,0
1,61,2,41,2,0
1,62,-6,27,-6,0
1,63,-1,9,-1,0
